id,title,description,epic,priority,estimate,dependencies,labels,acceptance_criteria,milestone,status
INT-001,Initialize monorepo structure,"Create backend/, frontend/, docker-compose.yml, root README.md. Add .gitignore for Python + Node.",EPIC-0,Critical,S,,"setup,infrastructure","Folder structure matches SPEC.md; Root README explains how to start; Git repo initialized",M1,todo
INT-002,Setup Django backend with DRF,"Django 5 project with DRF, CORS headers, django-environ for config.",EPIC-0,Critical,M,INT-001,"setup,backend,python","python manage.py runserver starts; /api/health/ returns ok; requirements.txt pinned",M1,todo
INT-003,Setup Vue 3 + Vite frontend,"Vue 3 + TypeScript + Vite + Vue Router + Pinia + Axios.",EPIC-0,Critical,M,INT-001,"setup,frontend,vue","npm run dev starts on 5173; API proxy configured; Placeholder home page renders",M1,todo
INT-004,Configure PostgreSQL + Docker Compose,"docker-compose.yml with postgres:16, backend, frontend services.",EPIC-0,Critical,M,INT-002,"setup,docker,database","docker compose up connects Django to Postgres; Migrations run; Data persists in volume",M1,todo
INT-005,Configure Tailwind with SQLI brand tokens,"Install TailwindCSS. Add SQLI colors from BRAND.md to tailwind.config.js.",EPIC-0,High,S,INT-003,"frontend,branding","CSS variables for all SQLI colors; Sample branded button works; Cream background preview",M1,todo
INT-006,Setup linting and formatting,"Ruff + mypy (backend), ESLint + Prettier (frontend).",EPIC-0,Normal,S,"INT-002,INT-003","setup,quality","make lint passes; Lint commands documented",M1,todo
INT-007,Create Makefile and .env.example,"Commands: up, down, migrate, seed, test, lint.",EPIC-0,High,S,INT-004,"setup,devops",".env.example lists all vars; make up starts full stack; make migrate works",M1,todo
INT-008,Setup GitHub Actions CI pipeline,"CI workflow: lint + test on push/PR.",EPIC-0,Normal,M,INT-006,"setup,ci","Workflow in .github/workflows/ci.yml; Runs backend tests and frontend lint",M1,todo
INT-009,User model with roles,"Custom User model with email login. Roles: admin, recruiter, interviewer, hiring_manager.",EPIC-1,Critical,M,INT-004,"auth,backend","Custom User model with email login; Role field with 4 roles; Admin can assign roles",M1,todo
INT-010,JWT authentication,"Login, refresh, logout with djangorestframework-simplejwt.",EPIC-1,Critical,M,INT-009,"auth,backend,api","POST /api/auth/login/ returns tokens; Refresh works; Invalid credentials return 401",M1,todo
INT-011,RBAC permission classes for DRF,"IsRecruiter, IsInterviewer, IsAdmin permission classes.",EPIC-1,Critical,M,INT-010,"auth,backend,security","Permission classes created; Interviewer cannot delete candidates; Recruiter can create jobs",M1,todo
INT-012,Auth API register profile change password,"GET /api/auth/me/, register (admin-only), change password.",EPIC-1,High,M,INT-010,"auth,api","/api/auth/me/ returns user; Register endpoint; Change password endpoint",M1,todo
INT-013,Vue auth store + Axios JWT interceptor,"Pinia store for login/logout/refresh. Axios Bearer token interceptor.",EPIC-1,Critical,M,"INT-010,INT-003","auth,frontend","Pinia auth store works; Axios adds Bearer token; Auto-refresh on 401",M1,todo
INT-014,Login and Register pages SQLI branded,"SQLI logo, tagline, cream background, cobalt CTA.",EPIC-1,Critical,M,"INT-005,INT-013","auth,frontend,branding","SQLI logo + tagline; Form validation; Redirect to dashboard on success",M1,todo
INT-015,Vue Router auth guards,"Unauthenticated redirect to /login. Role-based route restrictions.",EPIC-1,Critical,S,INT-013,"auth,frontend","Unauthenticated users redirected; Role-based route restrictions work",M1,todo
INT-016,JobOpening model + CRUD API,"Full CRUD at /api/jobs/ with title, department, location, level, description, skills, status.",EPIC-2,Critical,M,INT-011,"jobs,backend,api","CRUD at /api/jobs/; Serializer validation; Pagination; API tests",M2,todo
INT-017,PipelineStage model,"Default stages seeded. Stages linked to job or global default. Ordered with colors.",EPIC-2,Critical,M,INT-016,"jobs,backend","Default 7 stages seeded; Linked to job; Ordered by order field with color",M2,todo
INT-018,Jobs list and detail Vue pages,"Table of jobs with status badges. Job detail with candidate count per stage.",EPIC-2,High,M,"INT-016,INT-014","jobs,frontend","Jobs table with badges; Detail page with stage counts; Empty state",M2,todo
INT-019,Job create/edit form with skills tags,"Form with all fields. Skills as tag input. Create and edit modes.",EPIC-2,High,M,INT-018,"jobs,frontend","Full form; Skills tag input; Create/edit modes; Success toast",M2,todo
INT-020,Candidate model + CRUD API,"CRUD at /api/candidates/. Filter by job, stage, search, date. Linked to job + stage.",EPIC-3,Critical,L,INT-017,"candidates,backend,api","CRUD with filters; Linked to job + stage; API tests",M2,todo
INT-021,Resume file upload,"POST upload-resume accepts PDF max 5MB. Stored in media/resumes/.",EPIC-3,High,M,INT-020,"candidates,backend","PDF upload max 5MB; Stored in media/; Download link on detail",M2,todo
INT-022,Move candidate between pipeline stages,"POST move-stage with stage_id and reason. Creates activity log.",EPIC-3,Critical,M,INT-020,"candidates,backend,api","move-stage endpoint; Activity log created; Reject from any stage",M2,todo
INT-023,Activity timeline audit log,"GET timeline returns chronological events with user and timestamp.",EPIC-3,High,M,INT-022,"candidates,backend","Timeline endpoint; Events: created, stage_change, note, interview, scorecard",M2,todo
INT-024,Candidate list table view with search/filter,"Sortable columns, search bar, filter dropdowns, pagination.",EPIC-3,Critical,M,"INT-020,INT-014","candidates,frontend","Sortable table; Search + filters; Pagination; Click to detail",M2,todo
INT-025,Kanban board view drag and drop,"Columns = stages. Drag cards triggers move-stage API. Toggle table/kanban.",EPIC-3,Critical,L,"INT-022,INT-024","candidates,frontend","Kanban columns; Drag and drop; Card shows name/job/days; View toggle",M2,todo
INT-026,Candidate detail page with timeline,"Header, tabs (Overview, Timeline, Interviews, Scorecards, AI Brief), quick actions.",EPIC-3,Critical,L,"INT-023,INT-024","candidates,frontend","Detail page with tabs; Quick actions; Resume preview",M2,todo
INT-027,Interview model + CRUD API,"CRUD at /api/interviews/. Fields: candidate, job, type, date, duration, location, status.",EPIC-4,Critical,M,INT-020,"interviews,backend,api","CRUD at /api/interviews/; Filter by date, interviewer, status",M3,todo
INT-028,Assign multiple interviewers to interview,"M2M interview-interviewers. Interviewer sees only assigned. Notification on assign.",EPIC-4,High,S,INT-027,"interviews,backend","M2M works; Interviewer filtered view; Notification created",M3,todo
INT-029,Interview calendar view,"Week view with interview blocks. Color-coded by type. Click to detail modal.",EPIC-4,High,L,"INT-027,INT-014","interviews,frontend","Week calendar view; Color-coded blocks; Click opens modal",M3,todo
INT-030,Schedule interview form/modal,"Date/time picker, interviewer multi-select, type phone/video/onsite.",EPIC-4,Critical,M,"INT-027,INT-026","interviews,frontend","Schedule form/modal; All fields; Creates notification",M3,todo
INT-031,Scorecard model + submit API,"POST scorecards linked to interview. Ratings, recommendation, private notes.",EPIC-4,Critical,M,INT-027,"scorecards,backend,api","Scorecard API; Unique per interviewer/interview; Private notes RBAC",M3,todo
INT-032,Scorecard form UI for interviewers,"Star ratings, recommendation dropdown, text areas. My Interviews page.",EPIC-4,Critical,L,"INT-031,INT-014","scorecards,frontend","Full scorecard form; My Interviews page; Marks interview complete",M3,todo
INT-033,Aggregate scorecard view on candidate page,"All scorecards summary. Average ratings. Recommendation consensus.",EPIC-4,High,M,"INT-031,INT-026","scorecards,frontend","Aggregate view; Average ratings; Consensus shown",M3,todo
INT-034,AIService abstraction OpenAI + Ollama,"AIService base class. OpenAIProvider and OllamaProvider. Rate limiting.",EPIC-5,Critical,L,INT-002,"ai,backend","AIService with 3 methods; Both providers; Rate limit 20/hour; Unit tests",M4,todo
INT-035,AI Interview Question Generator API + UI,"POST generate-questions. Vue panel with generate/copy/save/regenerate.",EPIC-5,Critical,L,"INT-034,INT-016","ai,backend,frontend","API returns 8-12 questions; Vue panel works; Loading spinner; Regenerate",M4,todo
INT-036,AI Feedback Summarizer API + UI,"POST summarize-feedback. AI Hiring Brief card on candidate detail.",EPIC-5,Critical,L,"INT-034,INT-031","ai,backend,frontend","Summary API; Brief card on detail; AI disclaimer shown",M4,todo
INT-037,AI Mock Interview chat API + UI,"Chat UI. AI asks questions, gives feedback. Session saved. End session summary.",EPIC-5,Critical,XL,"INT-034,INT-014","ai,backend,frontend","Chat UI works; Multi-turn conversation; Session saved; End summary",M4,todo
INT-038,AI session history and logging,"GET /api/ai/sessions/. Filter by type. View mock transcripts.",EPIC-5,High,M,INT-034,"ai,backend","Session list endpoint; Filter by type; View transcripts",M4,todo
INT-039,App shell layout sidebar + topbar,"SQLI branded sidebar nav, collapsible, topbar with notifications.",EPIC-6,Critical,M,"INT-005,INT-014","layout,frontend,branding","Sidebar + topbar; Collapsible; Midnight blue + cream; Responsive",M5,todo
INT-040,Dashboard with funnel chart and stats,"Pipeline funnel, stat cards, activity feed, AI usage widget.",EPIC-6,Critical,L,"INT-020,INT-027,INT-039","dashboard,frontend","Funnel chart; Stat cards; Activity feed; AI stats",M5,todo
INT-041,In-app notification system,"Bell icon with badge. Dropdown list. Auto-create on key events.",EPIC-6,High,M,"INT-009,INT-039","notifications,backend,frontend","Notification API; Bell with badge; Auto-create on events",M5,todo
INT-042,Settings and user profile page,"Edit profile, change password. Admin user management.",EPIC-6,Normal,M,"INT-012,INT-039","settings,frontend","Profile edit; Password change; Admin user table",M5,todo
INT-043,Seed command with demo data,"make seed creates users, jobs, candidates, interviews, scorecards.",EPIC-7,High,M,INT-033,"devops,backend","Seed command; 3 jobs 15 candidates; Prints login credentials",M6,todo
INT-044,Backend test suite 70% coverage,"Tests for auth, jobs, candidates, interviews, scorecards, AI mocked.",EPIC-7,Critical,L,INT-038,"testing,backend","70%+ coverage; Permission tests; make test passes; CI passes",M6,todo
INT-045,Frontend manual test checklist,"TESTING.md with step-by-step cases covering demo script.",EPIC-7,High,S,INT-042,"testing,frontend","TESTING.md created; All demo steps covered; All pass",M6,todo
INT-046,Docker production build + nginx,"Multi-stage Dockerfiles. Nginx serves Vue, proxies /api.",EPIC-7,Critical,M,INT-004,"devops,docker","Production Docker build; Nginx config; docker compose up works fresh",M6,todo
INT-047,Project README and API documentation,"README with mermaid diagram. Swagger UI at /api/docs/.",EPIC-7,Critical,M,INT-046,"docs","README complete; Swagger UI; Architecture diagram",M6,todo
INT-048,Final demo and acceptance review,"5-min screen recording of demo script. All tickets done. No critical bugs.",EPIC-7,Critical,M,ALL,"release","Demo recorded; All tickets done; No critical bugs",M6,todo
